"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 11:25:35 GMT 2024","Wed Mar 06 11:25:36 GMT 2024","1311","chromium","example.spec.ts","","","","has title",""
"passed","Wed Mar 06 11:25:36 GMT 2024","Wed Mar 06 11:25:37 GMT 2024","748","chromium","example.spec.ts","","","","get started link",""
"passed","Wed Mar 06 11:25:41 GMT 2024","Wed Mar 06 11:25:43 GMT 2024","2168","webkit","example.spec.ts","","","","get started link",""
"passed","Wed Mar 06 11:25:37 GMT 2024","Wed Mar 06 11:25:41 GMT 2024","3311","webkit","example.spec.ts","","","","has title",""
