"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:15:13 GMT 2024","Tue Feb 13 13:15:15 GMT 2024","2347","webkit","example.spec.ts","","","","get started link",""
"passed","Tue Feb 13 13:15:01 GMT 2024","Tue Feb 13 13:15:05 GMT 2024","3726","chromium","example.spec.ts","","","","has title",""
"passed","Tue Feb 13 13:15:05 GMT 2024","Tue Feb 13 13:15:06 GMT 2024","705","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Feb 13 13:15:06 GMT 2024","Tue Feb 13 13:15:13 GMT 2024","6805","webkit","example.spec.ts","","","","has title",""
