"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:38:15 GMT 2024","Tue Feb 13 13:38:18 GMT 2024","3428","webkit","example.spec.ts","","","","has title",""
"passed","Tue Feb 13 13:38:14 GMT 2024","Tue Feb 13 13:38:14 GMT 2024","692","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Feb 13 13:38:18 GMT 2024","Tue Feb 13 13:38:20 GMT 2024","1366","webkit","example.spec.ts","","","","get started link",""
"passed","Tue Feb 13 13:38:13 GMT 2024","Tue Feb 13 13:38:14 GMT 2024","807","chromium","example.spec.ts","","","","has title",""
