"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 13:41:15 GMT 2024","Wed Feb 14 13:41:15 GMT 2024","711","chromium","example.spec.ts","","","","get started link",""
"passed","Wed Feb 14 13:41:18 GMT 2024","Wed Feb 14 13:41:19 GMT 2024","1203","webkit","example.spec.ts","","","","get started link",""
"passed","Wed Feb 14 13:41:16 GMT 2024","Wed Feb 14 13:41:18 GMT 2024","2069","webkit","example.spec.ts","","","","has title",""
"passed","Wed Feb 14 13:41:14 GMT 2024","Wed Feb 14 13:41:15 GMT 2024","883","chromium","example.spec.ts","","","","has title",""
