"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 13:55:29 GMT 2024","Wed Feb 14 13:55:31 GMT 2024","1254","webkit","example.spec.ts","","","","get started link",""
"passed","Wed Feb 14 13:55:26 GMT 2024","Wed Feb 14 13:55:27 GMT 2024","703","chromium","example.spec.ts","","","","get started link",""
"passed","Wed Feb 14 13:55:25 GMT 2024","Wed Feb 14 13:55:26 GMT 2024","799","chromium","example.spec.ts","","","","has title",""
"passed","Wed Feb 14 13:55:27 GMT 2024","Wed Feb 14 13:55:29 GMT 2024","2153","webkit","example.spec.ts","","","","has title",""
